지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
115,2004-05-19,2016-03-01,울릉도,경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소 ,울릉도기상대(115),37.4813,130.8986,222.8,,,,
116,2010-08-06,,관악산,경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4453,126.964,622.38,,,,
116,1993-11-10,2010-08-06,관악(레),경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4433,126.967,634,,,,
116,2003-03-21,2010-08-05,관악산,경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4442,126.9639,626.76,,,,
116,1984-01-01,1990-12-31,관악산,경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4442,126.9639,626.76,627.96,1.4,3.9,1.1
119,2008-04-25,,수원,경기도 수원시권선구 권선로276  ,,37.2723,126.9853,34.06,,,,
119,2019-07-24,,수원,경기도 수원시권선구 권선로276  ,,37.2575,126.983,39.81,40.81,1.6,18.7,1.1
119,1964-01-01,2019-07-24,수원,경기도 수원시권선구 권선로276  ,수도권기상청(119),37.2723,126.9853,34.84,35.84,1.6,18.7,1.1
121,1994-12-01,,영월,강원도 영월군영월읍 영월로 1894-25 영월자동기상관측소,영월기상대(121),37.1813,128.4574,240.54,242.05,1.7,10,1.4
121,2007-01-31,,영월,강원도 영월군영월읍 영월로 1894-25 영월자동기상관측소,춘천기상대(101),37.1813,128.4574,240.6,,,,
127,1972-01-01,,충주,충청북도 충주시안림로 55(안림동 521-5번지) ,청주기상대(131),36.9705,127.9525,114.85,116.25,1.65,10,1
129,1968-01-01,,서산,충청남도 서산시수석1길 124-1  ,홍성기상대(서산 129),36.7766,126.4939,25.25,26.55,1.6,20.2,1.1
130,2010-10-28,,울진,경상북도 울진군울진읍 현내항길157 울진지역기상서비스센터 ,안동기상대(136),36.9918,129.4128,50,,,,
130,2020-12-04,,울진,경상북도 울진군울진읍 현내항길157 울진지역기상서비스센터 ,안동기상대(136),36.9918,129.4128,48.98,50.18,1.75,10,1.3
130,1971-01-12,2020-12-04,울진,경상북도 울진군울진읍 현내항길157 울진지역기상서비스센터 ,대구(구 143),36.9918,129.4128,48.98,50.18,1.75,10,1.3
131,1967-01-01,,청주,충청북도 청주시흥덕구 공단로76 청주기상지청 ,청주기상대(131),36.6392,127.4407,58.7,60.1,1.7,10,0.8
132,1999-02-08,,안면도(감),,,36.54,126.33,47,,,,
132,2016-03-01,,안면도(감),,,36.5383,126.33,45.7,,,,
132,2003-03-21,2016-03-01,안면센터,,,36.5383,126.33,45.7,,,,
133,1969-01-01,,대전,대전광역시 유성구대학로 383(대전광역시 유성구 구성동22),대전지방기상청(133),36.372,127.3721,70.22,71.12,1.6,19.8,1.2
135,1937-01-11,,추풍령,충청북도 영동군추풍령면 관리길25-15 추풍령지역기상서비스센터 ,청주기상대(131),36.2203,127.9946,244.98,246.18,1.6,10,1.1
135,2004-05-19,,추풍령,충청북도 영동군추풍령면 관리길25-15 추풍령지역기상서비스센터 ,청주기상대(131),36.2202,127.9946,244.73,,,,
136,1983-01-01,,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,141.26,142.76,1.8,10,1.3
136,2015-12-20,,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,141.26,,,10,
136,2007-01-31,,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,140.1,,,,
136,1998-12-24,2015-12-20,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,140.1,,,10,
136,1973-01-01,1978-05-01,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,,36.573,128.7073,139.39,141.4,1.5,10,0.6
137,2002-01-01,,상주,경상북도 상주시남산2길 322상주지역기상서비스센터  ,대구(구 143),36.4084,128.1574,96.58,97.98,1.8,10,1.4
138,1943-01-01,,포항,경상북도 포항시남구 송도로70 포항관측소 ,포항기상대(138),36.032,129.38,3.94,4.92,1.6,10,1.2
140,2003-12-31,,군산,전라북도 군산시내흥동 425-10호군산지역기상서비스센터  ,전주기상대(146),36.0053,126.7614,27.85,24.6,1.7,10,1
140,2007-01-01,,군산,전라북도 군산시내흥동 425-10호군산지역기상서비스센터  ,전주기상대(146),36.0053,126.7614,23.2,,,,
140,1968-01-01,2003-12-01,군산,전라북도 군산시내흥동 425-10호군산지역기상서비스센터  ,,35.993,126.7057,25.57,30.74,1.5,18,0.6
143,2007-01-31,,대구,대구광역시 동구 효동로2길 10대구지방기상청 (효목동),대구(구 143),35.8852,128.619,64.08,,,,
143,2017-08-25,,대구,대구광역시 동구 효동로2길 10대구지방기상청 (효목동),대구(구 143),35.878,128.653,54.27,55.52,1.8,10,0.6
143,1907-01-31,2017-08-25,대구,대구광역시 동구 효동로2길 10대구지방기상청 (효목동),대구(구 143),35.8282,128.6522,53.4,54.9,1.8,10,0.6
144,1993-03-16,2011-12-09,군산(레),,군산기상대(140),36.0123,126.7834,198.61,,,,
144,2003-03-21,2006-12-27,오성산,,,36.0127,126.7839,227.41,,,,
146,2008-04-28,,전주,전라북도 전주시덕진구 상가마을길25 전주기상지청 ,전주기상대(146),35.8215,127.155,53.4,,,,
146,2015-07-01,,전주,전라북도 전주시덕진구 상가마을길25 전주기상지청 ,전주기상대(146),35.8409,127.1172,60.44,62.9,1.6,10,1.4
146,1918-06-23,2015-07-01,전주,전라북도 전주시덕진구 상가마을길25 전주기상지청 ,전주기상대(146),35.8215,127.155,53.4,62.4,1.8,18.4,0.6
151,1985-01-01,,울산공항,,,35.5933,129.3522,12.6,10.3,2,10,0.6
152,2016-04-01,,울산,울산광역시 중구달빛로 65-26(약사동)울산기상대  ,울산기상대(152),35.5826,129.3344,82,,,,
152,2017-08-25,,울산,울산광역시 중구달빛로 65-26(약사동)울산기상대  ,울산기상대(152),35.5824,129.3347,81.14,83.2,1.8,10,1.3
152,2016-04-01,2017-08-25,울산,울산광역시 중구달빛로 65-26(약사동)울산기상대  ,울산기상대(152),35.5826,129.3344,82,83.2,1.8,10,0.6
152,1932-01-06,2016-04-01,울산,울산광역시 중구달빛로 65-26(약사동)울산기상대  ,울산기상대(152),35.5601,129.3203,34.57,35.8,1.5,12,0.5
152,2008-04-30,2016-04-01,울산,울산광역시 중구달빛로 65-26(약사동)울산기상대  ,울산기상대(152),35.5601,129.3203,34.57,,,,
155,2010-07-22,,창원,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,창원기상대(155),35.1702,128.5728,34.97,39.1,1.7,10,1.3
155,2004-12-16,2010-07-21,마산,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,,35.1671,128.5751,36.8,37.9,1.7,10,0.5
155,1985-07-01,2004-12-15,마산,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,,35.1903,128.5652,11.25,4.9,1.5,17.6,0.6
156,1939-05-01,,광주,광주광역시 북구 서암대로 71광주지방기상청 (운암동),광주지방기상청(156),35.1729,126.8916,70.28,73.9,1.7,17.5,0.8
156,2004-01-27,,광주,광주광역시 북구 서암대로 71광주지방기상청 (운암동),광주지방기상청(156),35.1729,126.8916,72.38,,,,
159,1904-04-09,,부산,부산광역시 중구복병산길 32번길 5-11 부산기상관측소 (대청동1가),부산지방기상청(159),35.1047,129.032,69.56,70.9,1.5,18,1.3
160,2005-05-12,,구덕산,부산광역시 서구구덕산길 96번지구덕산기상레이더관측소  ,부산지방기상청(159),35.1188,129,518.46,,,,
160,2020-10-23,,부산(레),부산광역시 서구구덕산길 96번지구덕산기상레이더관측소  ,부산지방기상청(159),35.1188,129,512,,,,
160,1993-03-04,2020-10-23,부산(레),부산광역시 서구구덕산길 96번지구덕산기상레이더관측소  ,부산지방기상청(159),35.1188,129,518.46,,,,
162,1968-01-01,,통영,경상남도 통영시망일1길 67통영지역기상서비스센터  ,부산지방기상청(159),34.8454,128.4356,31.24,33.2,1.5,18,1.3
163,2007-11-08,,무안공항,,,34.9914,126.3831,10.9,9.3,1.5,7,0.2
164,1993-01-01,2000-07-31,무안,,,35.0938,126.2851,24.49,25.03,1.5,12.6,0.6
165,2019-10-31,,목포,전라남도 목포시연산동 726-3번지목포기상대  ,목포기상대(165),34.8173,126.3815,44.7,39.2,1.5,14.5,1
165,1904-04-08,2019-10-31,목포,전라남도 목포시연산동 726-3번지목포기상대  ,목포기상대(165),34.8169,126.3812,38,39.2,1.5,14.5,1
167,1978-08-01,,여수공항,,,34.8467,127.6125,17.9,10.9,1.5,10,0.2
168,1942-03-01,,여수,전라남도 여수시고소동 304  ,여수기상대(168),34.7393,127.7406,65.93,66.1,1.5,13,0.6
169,1997-01-01,,흑산도,전라남도 신안군흑산면 예리3길 21-90 흑산도관측소,흑산도기상대(169),34.6872,125.4511,75.12,78,1.5,15.5,0.6
169,2003-03-21,,흑산도,전라남도 신안군흑산면 예리3길 21-90 흑산도관측소,흑산도기상대(169),34.6872,125.451,76.49,,,,
170,1971-01-31,,완도,전라남도 완도군군외면 청해진로795-3 (불목리 26),목포기상대(165),34.3959,126.7018,35.37,36.7,1.5,10,0.8
172,2010-12-01,,고창,전라북도 고창군대산면 매산리399-13  ,전주기상대(146),35.3482,126.599,52.42,53.5,1.8,10,1.7
174,2011-04-01,,순천,전라남도 순천시승주읍 평중리230번지 순천지역기상서비스센터 ,광주지방기상청(156),35.0204,127.3694,165,166.5,1.5,10,0.8
175,2020-04-29,,진도(레),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,478.51,,,10,
175,2019-08-01,2020-04-29,진도(레),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,478.51,,,10,
175,2001-11-03,2019-08-01,진도(첨찰산),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,478.51,479.76,1.5,10,0.8
175,2015-12-16,2019-08-01,진도(첨찰산),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,478.51,,,10,
175,2015-07-13,2015-12-16,진도(첨찰산),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,476.47,,,10,
175,2008-04-30,2015-10-15,진도(첨찰산),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,476.47,,,,
175,2001-10-31,2015-07-13,진도(첨찰산),전라남도 진도군의신면 운림산방로527-209  ,진도기상대(175),34.4721,126.3238,476.47,,,10,
176,2013-10-10,2015-06-11,대구(기),,대구기상대(176),35.8782,128.6522,49,50.2,1.8,10,0.6
177,2017-10-31,,홍성,충청남도 홍성군홍북읍 신경리872(홍성기상대)  ,,36.6576,126.6877,27.74,28.7,1.5,10,1.5
177,2015-11-03,2017-10-31,홍성(예),충청남도 홍성군홍북읍 신경리872(홍성기상대)  ,홍성기상대(서산 129),36.6575,126.6877,20,,,10,
182,1965-11-01,,제주공항,,,33.5167,126.5,26.5,24.44,2,10,0.5
184,1923-05-01,,제주,제주특별자치도 제주시만덕로 6길 32 제주지방기상청,제주지방기상청(184),33.5141,126.5297,20.79,21.99,1.7,15,1.5
185,1988-01-01,,고산,제주특별자치도 제주시한경면 노을해안로1013-70 고산레이더관측소 ,제주지방기상청(184),33.2938,126.1628,71.39,72.49,1.7,10,1.5
185,2003-03-21,,고산,제주특별자치도 제주시한경면 노을해안로1013-70 고산레이더관측소 ,제주지방기상청(184),33.2938,126.1628,74.29,,,,
187,2007-03-27,2008-09-04,성산,,,33.3868,126.8804,18,20.48,1.8,10.2,0.6
188,2008-09-04,,성산,제주특별자치도 서귀포시성산읍 신난로11 성산레이더관측소 ,제주지방기상청(184),33.3868,126.8802,20.34,21.74,1.7,10,1.5
188,1971-07-15,2008-09-04,성산,제주특별자치도 서귀포시성산읍 신난로11 성산레이더관측소 ,성산지역기상서비스센터(188),33.3868,126.8804,18.4,20.1,1.5,10,0.6
189,2010-11-09,,서귀포,제주특별자치도 서귀포시태평로 439번길17 서귀포관측소 ,제주지방기상청(184),33.2462,126.5653,51.86,53.16,1.7,10,1.5
189,1961-01-01,2010-11-09,서귀포,제주특별자치도 서귀포시태평로 439번길17 서귀포관측소 ,서귀포지역기상서비스센터(189),33.2461,126.5653,50.4,51.6,1.8,10,0.6
192,2005-11-23,,진주,경상남도 진주시남강로 43진주지역기상서비스센터  ,창원기상대(155),35.1638,128.04,29.35,31.6,1.8,10,1.3
192,2007-01-31,,진주,경상남도 진주시남강로 43진주지역기상서비스센터  ,창원기상대(155),35.1638,128.04,30.21,,,,
192,1969-03-01,2005-11-23,진주,경상남도 진주시남강로 43진주지역기상서비스센터  ,,35.2084,128.1191,21.32,22.64,1.5,10,0.6
201,1972-01-11,,강화,인천광역시 강화군불은면 삼성리811-1 강화기상관측소 ,인천기상대(112),37.7074,126.4463,47.84,49.24,1.6,10,0.6
201,2004-02-07,,강화,인천광역시 강화군불은면 삼성리811-1 강화기상관측소 ,인천기상대(112),37.7074,126.4463,47.01,,,,
202,1972-01-11,,양평,경기도 양평군 양평읍 시민로20번길 14-1양평자동기상관측소20번길 43844 양평자동기상관측소,수도권기상청(119),37.4886,127.4945,47.26,48.76,1.9,10,0.6
203,1972-01-11,,이천,경기도 이천시부발읍 대산로546번길 8 이천기상서비스센터,수도권기상청(119),37.264,127.4842,80.09,81.59,1.8,10,0.6
211,1971-12-01,,인제,강원도 인제군인제읍 비봉로44번길 93 인제자동기상관측소,인제자동기상관측소(211),38.0599,128.1671,201.78,202.78,1.5,10,0.5
212,1971-09-27,,홍천,강원도 홍천군홍천읍 연봉동로27 홍천자동기상관측소 ,춘천기상대(101),37.6836,127.8804,140.2,141.2,1.6,13,0.5
214,1971-02-28,1996-01-01,삼척,,,37.3667,129.2167,3.9,5.4,1.5,10,0.6
216,1985-08-01,,태백,강원도 태백시문예1길 45태백자동기상관측소  ,태백자동기상관측소(216),37.1704,128.9893,714.45,715.25,1.6,16,0.6
217,2010-08-06,,정선군,강원도 정선군정선읍 북실리773-7 정선공동기상관측소 ,,37.3815,128.6459,307.58,309,1.8,10,0.6
221,1972-01-11,,제천,충청북도 제천시대학로 123(신월동 348번지) 제천기상관측소,청주기상대(131),37.1593,128.1943,264.62,265.39,1.5,10,0.5
226,1972-01-09,,보은,충청북도 보은군보은읍 성주길57 보은자동기상관측소 ,청주기상대(131),36.4876,127.7342,171.31,172.71,1.5,10,0.5
229,2017-09-08,,북격렬비도,충청남도 태안군근흥면 가의도리산 27(북격렬비도) ,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2020-10-23,,북격렬비도,충청남도 태안군근흥면 가의도리산 27(북격렬비도) ,대전지방기상청(133),36.6254,125.5595,104.81,,,,
229,2017-09-08,2020-10-23,북격렬비도,충청남도 태안군근흥면 가의도리산 27(북격렬비도) ,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2005-02-25,2017-09-08,격렬비도,충청남도 태안군근흥면 가의도리산 27(북격렬비도) ,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2005-03-16,2017-09-08,격렬,충청남도 태안군근흥면 가의도리산 27(북격렬비도) ,대전지방기상청(133),36.6254,125.5595,103.56,,,,
232,2016-04-01,,천안,충청남도 천안시동남구 병천면병천리 263-3(천안지역기상서비스센터) ,대전지방기상청(133),36.7624,127.2927,81.5,,,,
232,1972-01-08,2016-04-01,천안,충청남도 천안시동남구 병천면병천리 263-3(천안지역기상서비스센터) ,천안지역기상서비스센터(232),36.7796,127.1213,21.3,22.6,1.8,9.5,0.6
232,2004-05-18,2016-04-01,천안,충청남도 천안시동남구 병천면병천리 263-3(천안지역기상서비스센터) ,대전지방기상청(133),36.7796,127.1191,21.3,,,,
235,1972-01-24,,보령,충청남도 보령시대해로 450보령지역기상서비스센터  ,대전지방기상청(133),36.3272,126.5574,9.98,17,1.6,10,1.1
236,1972-01-09,,부여,충청남도 부여군부여읍 금성로63 부여기상관측소 ,대전지방기상청(133),36.2724,126.9208,13.42,14.88,1.7,10,0.5
238,1972-01-09,,금산,충청남도 금산군금산읍 비단로410-8 금산자동기상관측소 ,대전지방기상청(133),36.1056,127.4818,172.69,173.99,1.5,10,0.5
239,2020-04-01,,세종,세종특별자치시 새롬동산 61  ,대전지방기상청(133),36.4852,127.2444,89.5,95,1.6,10,1
239,2019-05-31,2020-04-01,세종(예),세종특별자치시 새롬동산 61  ,대전지방기상청(133),36.4864,127.235,94,95,1.6,10,1
243,1972-03-01,,부안,전라북도 부안군행안면 역리315-1번지 부안기상관측소 ,전주기상대(146),35.7296,126.7166,12.2,13.5,1.8,10,0.6
244,1970-06-02,,임실,전라북도 임실군임실읍 운수로58임실자동기상관측소  ,전주기상대(146),35.612,127.2856,247.04,248.44,1.8,10,0.6
245,2016-11-01,,정읍,전라북도 정읍시서부산업도로 168-43국립전북기상과학관  ,전주기상대(146),35.5634,126.839,68.7,70.97,1.9,10,1
245,1970-01-05,2016-11-01,정읍,전라북도 정읍시서부산업도로 168-43국립전북기상과학관  ,전주기상대(146),35.5632,126.8661,44.6,46.1,1.7,10,0.6
247,2017-08-25,,남원,전라북도 남원시춘향로 74-32남원지역기상서비스센터  ,전주기상대(146),35.4213,127.3965,133.49,91.8,1.7,10,0.7
247,2013-08-01,2017-08-25,남원,전라북도 남원시춘향로 74-32남원지역기상서비스센터  ,전주기상대(146),35.4023,127.3967,127.48,91.8,1.7,10,0.7
247,1972-01-04,2013-08-01,남원,전라북도 남원시춘향로 74-32남원지역기상서비스센터  ,남원기상대(247),35.4054,127.333,90.29,94.7,1.8,10,0.6
248,1988-01-01,,장수,전라북도 장수군장수읍 선창리373-3 (장수자동관측소) ,전주기상대(146),35.657,127.5203,406.87,408,1.6,10,0.5
251,2010-12-01,,고창군,전라북도 고창군중거리당산로 74-12 상하수도사업소,전주기상대(146),35.4266,126.697,58.84,55.5,1.7,10,0.6
251,2008-11-28,2010-11-30,고창,전라북도 고창군중거리당산로 74-12 상하수도사업소,고창기상대(미사용 251),35.4266,126.697,54,55.3,1.8,10,0.7
251,2007-11-01,2008-11-28,고창,전라북도 고창군중거리당산로 74-12 상하수도사업소,고창기상대(미사용 251),35.4251,126.699,54.02,55.32,1.5,10,0.5
252,2007-11-26,,영광군,전라남도 영광군복호로 7영광군 현장방사능방재지휘센터 ,광주지방기상청(156),35.2837,126.4778,37.2,38.7,1.5,13,0.6
253,2008-02-13,,김해시,경상남도 김해시부원동 121번지  ,부산지방기상청(159),35.2298,128.8908,54.59,54.6,1.7,10,0.5
254,2008-07-16,,순창군,전라북도 순창군순창읍 교성리258 순창군공설운동장 ,전주기상대(146),35.3713,127.1286,129.38,128.4,1.6,10,0.6
255,2010-07-22,,북창원,경상남도 창원시성산구 외동반림로93 외동배수지 ,창원기상대(155),35.2266,128.6726,50.95,50.3,1.8,10,0.7
255,2008-12-26,2010-07-21,창원시,경상남도 창원시성산구 외동반림로93 외동배수지 ,,35.2264,128.6725,46.77,48.12,1.8,10,0.6
256,2011-04-01,2012-07-02,주암,,순천기상대(174),35.075,127.2391,74.63,75.4,1.5,14,0.6
256,1972-01-21,2011-04-01,순천,,순천기상대(미사용 256),35.075,127.2391,74.4,75.4,1.5,14,0.6
257,2008-12-26,,양산시,경상남도 양산시동면 강변로54 수질정화공원 ,울산기상대(152),35.3074,129.0201,6.29,16.1,1.8,10,0.6
258,2010-03-11,,보성군,전라남도 보성군득량면 예당리3046-2번지  ,여수기상대(168),34.7634,127.2123,1.41,4.3,1.5,10,0.6
258,2010-02-08,2010-03-10,보성군,전라남도 보성군득량면 예당리3046-2번지  ,여수기상대(168),34.7633,127.2123,2.8,,,,
259,2021-02-25,,강진군,전라남도 강진군 강진읍 종합운동장길 58-8종합운동장 내,목포기상대(165),34.6446,126.7841,16,20,1.5,10,0.6
259,2009-11-10,2021-02-25,강진군,전라남도 강진군 강진읍 종합운동장길 58-8종합운동장 내,목포기상대(165),34.6289,126.7672,9.95,13.9,1.5,10,0.6
260,1972-01-21,,장흥,전라남도 장흥군장흥읍 축내리271-11  ,목포기상대(165),34.6889,126.9195,43.99,46.3,1.5,10,0.8
261,1971-02-03,,해남,전라남도 해남군해남읍 남천리175-1 해남자동기상관측소 ,목포기상대(165),34.5538,126.5691,16.36,17.91,1.5,10,0.8
262,2017-08-25,,고흥,전라남도 고흥군고흥읍 행정리483-1번지  ,여수기상대(168),34.6183,127.2757,51.91,53.31,1.5,10,0.8
